ip_addr,amount_of_total_traffic,protocol,amount_of_traffic_for_specific_protocol,source_port,amount_for_spec_source_port,destination_port,amount_for_spec_destination_port
192.168.3.131,4294,6,4257,57243,206,80,3129
65.54.95.68,1275,6,1275,80,1275,56434,136
172.16.255.1,1102,6,886,10638,170,443,741
204.14.234.85,1036,6,1036,8443,516,57243,296
65.54.95.75,766,6,766,80,766,56064,115
65.54.95.140,658,6,658,80,658,56415,49
10.0.2.15,636,6,570,2528,86,5480,163
130.117.72.100,354,6,354,443,354,10638,354
209.17.73.30,284,6,284,80,284,58789,144
72.14.213.147,244,6,244,443,216,52152,216
